price,area,bedrooms,bathrooms,washingmachine,dtcenter,hotwater,ac,parking,security,furnish
921053,17.73,1,0,0,13.07493803,1,0,0,1,1
921053,16.36,1,1,0,12.8264016,0,0,0,1,0
921053,13.64,1,1,0,12.74261964,0,1,1,1,0
930079,10.91,1,1,0,12.30582526,0,1,1,0,1
931096,13.64,1,1,0,10.91927553,0,0,1,1,0
936615,17.73,1,0,0,10.5748919,1,1,0,1,0
937597,17.73,1,0,0,10.55323152,1,0,0,1,0
940733,12.27,1,1,0,10.50738157,0,1,1,0,1
956588,15,1,1,0,10.4793765,0,0,1,1,2
957895,13.64,1,1,0,10.46420142,0,1,1,0,0
958348,13.64,1,1,0,10.35487657,0,1,0,0,0
958610,17.73,1,1,0,10.29078474,0,0,1,1,0
959253,17.73,1,1,0,10.23935542,0,0,0,1,0
967144,10.91,1,1,0,10.11880748,0,1,1,0,1
975179,15,1,1,0,10.11689513,1,1,0,0,0
976316,13.64,1,0,0,21.43902186,0,1,1,0,0
994737,8.18,1,1,0,19.0042842,0,0,1,2,0
994737,16.36,1,1,0,10.06648485,1,0,1,1,0
1008447,16.36,1,1,0,10.06115435,1,0,1,1,0
1018106,16.36,1,1,0,9.91585826,1,0,1,1,0
1020965,13.64,1,0,0,9.912499668,0,1,1,0,0
1026040,15,1,0,0,9.881355623,0,1,1,0,0
1028535,8.18,1,1,0,9.722356337,0,0,1,2,0
1031579,15,2,0,0,18.12971118,0,1,0,1,1
1054654,16.36,2,0,0,9.680310363,0,1,0,1,0
1084074,8.18,1,1,0,9.625758926,0,0,1,2,0
1100254,16.36,2,0,0,9.39704457,0,1,0,1,1
1105263,13.64,2,1,0,9.385307864,1,1,1,0,0
1105263,15,1,1,0,9.356468217,0,1,0,1,0
1105263,10.91,1,1,0,9.334052245,0,0,1,0,0
1123684,13.64,1,1,0,9.281179515,1,1,1,1,0
1124310,15,1,1,0,9.181894509,0,1,1,1,0
1131367,16.36,1,1,0,9.067883524,1,1,0,1,1
1132306,13.64,2,1,0,8.93693153,0,1,1,0,0
1145877,13.64,1,1,0,8.727868784,0,1,1,1,0
1150445,10.91,1,1,0,3.783406746,0,0,1,0,0
1151104,13.64,2,1,0,8.297627288,0,1,1,0,0
1159742,16.36,1,1,0,3.601561989,0,1,0,1,0
1175263,24.55,1,1,0,18.04721494,1,0,0,0,0
1178947,9.55,1,1,0,17.96585576,1,0,1,1,1
1185162,24.55,1,1,0,7.930385542,1,1,0,0,0
1188829,12.27,1,1,0,3.443000921,0,0,1,0,0
1191227,25.91,1,1,0,17.71772614,1,0,0,0,0
1197368,17.73,1,1,0,17.52172764,0,1,0,0,1
1197368,17.73,1,1,0,7.864054165,1,1,0,1,0
1197368,8.18,1,1,0,7.764365888,0,0,1,2,0
1198645,17.73,1,1,0,7.698127499,1,0,0,1,0
1202774,8.18,1,1,0,7.632731294,0,0,1,2,1
1206330,19.09,1,1,0,7.440577263,0,1,0,0,0
1215789,15,1,1,0,7.438881806,1,0,1,1,0
1216456,9.55,1,1,0,7.302127171,1,0,1,1,0
1226741,9.55,1,1,0,7.30160613,1,1,1,1,0
1233154,15,1,1,0,7.24660922,1,0,1,1,0
1234211,16.36,1,0,0,7.20125957,0,1,1,1,0
1252632,15,1,1,0,17.41490612,1,0,1,0,2
1252632,12.27,2,1,0,7.171201902,1,1,1,0,2
1252632,10.91,1,1,0,7.120546446,1,1,0,2,0
1257462,19.09,1,1,0,7.056653654,0,1,0,0,0
1266599,15,1,1,0,6.977283324,1,0,1,1,0
1267368,16.36,1,1,0,6.904800247,1,0,0,0,0
1269546,12.27,1,1,0,6.891798249,1,1,0,2,1
1277351,17.73,1,0,0,6.842770624,0,1,1,1,0
1279261,16.36,1,1,0,6.836574511,1,0,0,0,0
1283491,16.36,1,1,0,6.804848965,1,0,0,0,0
1285703,16.36,1,0,0,6.682739235,0,1,1,1,0
1287763,8.18,1,1,0,17.22752977,0,0,1,2,1
1289474,16.36,1,1,0,17.19310925,1,1,1,1,0
1289474,35.45,1,1,0,6.615159254,1,0,1,0,0
1289474,21.82,1,0,0,6.589074007,0,1,1,0,0
1289474,15,1,1,0,6.553689886,1,1,0,0,0
1289474,15,1,1,0,6.503637434,1,1,0,1,0
1289474,13.64,1,1,0,6.455037601,1,1,0,0,0
1297676,12.27,2,1,0,6.366575772,1,1,1,0,2
1297708,12.27,1,1,0,6.365659718,1,1,0,2,2
1298452,16.36,1,1,0,17.16279682,1,1,1,1,0
1298848,15,1,1,0,6.290005791,1,1,0,1,0
1301661,21.82,1,0,0,6.182074729,0,1,1,0,0
1303718,15,1,1,0,16.88687358,1,1,0,0,0
1304158,19.09,1,1,0,16.8175393,1,0,0,1,0
1307895,20.45,1,0,0,16.52083416,1,1,0,0,1
1307895,13.64,1,1,0,16.5206605,1,1,1,1,0
1308923,15,1,1,0,5.893734728,1,0,1,0,0
1310573,35.45,1,1,0,16.32484498,1,0,1,0,0
1312580,13.64,1,1,0,5.859929479,1,1,1,1,1
1313733,13.64,2,1,0,16.26039487,1,1,1,0,2
1319822,21.82,1,0,0,16.25998597,1,1,0,0,0
1320693,13.64,1,1,0,5.790122681,0,1,0,0,0
1326316,15,1,1,0,16.25914537,1,1,1,1,0
1326316,13.64,1,1,0,15.97674823,1,1,1,0,2
1326316,13.64,1,1,0,5.753161676,1,1,0,0,0
1332514,16.36,1,1,0,15.92335053,1,1,1,1,0
1336441,15,1,1,0,15.90576058,1,1,0,0,0
1336498,21.82,1,0,0,5.649873088,0,1,1,0,0
1338828,15,1,1,0,15.57771032,1,1,0,1,0
1351588,35.45,1,1,0,15.55709647,1,0,1,0,0
1355202,13.64,1,1,0,15.53121413,1,1,0,0,2
1358268,15,1,1,0,5.490708748,1,1,1,1,1
1363158,20.45,1,1,0,15.49507461,1,0,1,0,1
1363158,16.36,1,1,0,5.487276373,1,0,0,0,2
1363158,16.36,1,1,0,5.420655845,1,0,0,0,0
1367087,20.45,1,0,0,5.333813622,1,1,0,0,0
1369074,15,1,1,0,5.313574059,1,1,0,0,2
1369939,16.36,1,1,0,5.29707742,1,0,0,0,0
1370526,13.64,1,1,0,15.46493579,1,1,1,2,0
1380588,13.64,1,1,0,5.25516449,1,1,1,0,0
1381666,16.36,1,1,0,15.43991645,1,0,0,0,0
1382463,16.36,1,1,0,5.215141273,1,0,1,0,0
1392006,15,1,1,0,5.198883299,1,1,1,1,1
1396316,17.73,1,1,0,15.3503146,0,1,0,1,0
1396316,15,1,1,0,5.188091236,1,1,1,0,0
1398113,20.45,1,1,0,5.091612356,1,0,1,0,0
1400000,12.27,1,1,0,15.20916006,1,1,1,2,1
1400000,10.91,1,1,1,15.15543641,1,1,1,1,0
1400000,17.73,1,1,1,5.090285421,1,1,0,1,0
1400000,17.73,1,1,0,5.089046824,1,0,1,1,1
1400000,16.36,1,1,1,5.077882368,1,0,0,0,0
1400000,16.36,1,1,0,5.057594657,1,1,1,0,0
1400000,9.55,1,2,0,5.015536238,1,1,0,2,1
1401986,10.91,1,1,1,4.829222136,1,1,1,1,0
1408111,17.73,1,1,0,4.827861883,1,0,1,1,0
1408576,17.73,1,1,1,14.81877663,1,0,0,0,0
1410785,19.09,1,1,0,4.747679023,0,1,0,1,0
1411012,15,1,1,0,4.73856516,1,1,1,0,0
1412146,16.36,1,1,0,14.79427365,1,1,1,0,1
1412390,13.64,1,1,0,4.693439918,1,1,1,2,0
1414684,13.64,1,1,0,14.78409169,1,1,1,2,1
1418312,13.64,1,1,0,4.657637002,1,1,1,2,0
1418421,17.73,1,1,1,4.637689017,1,0,1,1,0
1418935,16.36,1,1,0,4.598775529,1,1,0,0,0
1421893,15,1,1,0,14.65573089,1,1,1,1,0
1428251,9.55,1,2,0,4.597851737,1,1,0,2,1
1435267,12.27,1,1,0,4.586455314,1,1,1,2,0
1436842,17.73,1,1,1,14.63498355,1,0,0,0,0
1436842,31.36,1,0,1,4.556675696,1,0,1,0,0
1439477,9.55,1,2,0,4.547410286,1,1,0,2,1
1439719,13.64,1,1,0,4.511316784,1,1,1,0,0
1440667,19.09,1,1,1,4.496656743,1,1,0,1,1
1451061,21.82,1,1,0,4.427120198,1,0,1,0,0
1452059,20.45,1,1,1,4.425024085,1,0,1,1,0
1456201,17.73,1,1,0,4.389487785,1,0,0,0,0
1461617,20.45,1,1,1,4.343532635,1,1,0,1,1
1470354,15,1,1,0,1.554899424,1,1,1,0,0
1473456,19.09,1,1,1,4.309543668,1,0,1,1,0
1473684,17.73,1,1,1,4.265219348,1,0,0,0,0
1473684,12.27,1,1,1,4.259833586,1,1,1,2,2
1475084,17.73,1,1,0,14.5957245,0,1,0,1,0
1476339,34.09,1,0,1,4.239758003,1,0,1,0,0
1480466,17.73,1,1,1,4.230516563,1,0,0,0,2
1482923,17.73,1,1,0,4.228655974,1,0,0,0,2
1483482,19.09,1,1,1,4.222888811,1,0,0,0,0
1484712,16.36,1,1,0,4.217264255,1,1,1,0,1
1492105,20.45,1,1,1,4.188784042,0,0,0,1,0
1492105,15,1,1,0,4.180038446,1,1,0,0,1
1492105,12.27,1,1,1,4.172913986,1,1,1,2,0
1499638,17.73,1,1,1,14.55884372,1,0,0,0,0
1501316,23.18,2,0,1,14.43333791,1,0,1,0,0
1501611,15,1,1,0,14.41378859,1,1,0,0,1
1502383,19.09,1,1,0,14.31336138,1,0,1,1,0
1503446,20.45,1,1,1,14.25222587,0,0,0,1,1
1504513,24.55,2,0,1,14.22777012,1,0,1,0,0
1508371,32.73,1,0,1,4.070285353,1,0,1,0,0
1510526,13.64,1,1,0,14.07345199,1,1,0,1,0
1510526,24.55,2,0,0,4.068954908,0,0,1,1,0
1510526,27.27,1,0,1,4.056769733,1,1,1,0,0
1510526,16.36,1,1,0,4.054040199,1,1,0,0,1
1519270,28.64,1,0,1,4.015082618,1,1,1,0,1
1523706,12.27,1,1,1,4.00208242,1,1,1,1,0
1523754,13.64,1,1,0,14.00302245,1,1,0,1,0
1527420,20.45,1,1,1,3.953461135,1,0,0,0,2
1533284,12.27,1,1,1,3.921776261,1,1,1,2,0
1540029,21.82,1,1,1,13.98648415,0,0,0,1,0
1546762,12.27,1,1,1,13.94081053,1,1,1,2,2
1547368,16.36,2,1,0,13.70853669,1,1,1,1,2
1547368,30,1,1,0,13.59104403,0,0,0,1,0
1547368,27.27,1,1,0,13.58808375,0,1,1,0,1
1547368,23.18,1,1,0,13.58443197,1,0,0,0,0
1547368,16.36,1,1,0,13.47306134,1,1,1,1,0
1547368,12.27,1,1,0,13.43542892,1,1,1,2,0
1547368,16.36,1,1,1,3.862908123,1,1,1,1,0
1547368,15,1,1,1,3.848476243,1,1,1,1,1
1547556,31.36,1,1,0,3.824205452,0,0,0,1,1
1552073,24.55,2,0,1,13.36618441,1,0,1,0,0
1553616,23.18,1,1,0,3.798878905,1,0,0,0,0
1558132,15,1,1,1,13.24955932,1,1,1,1,0
1558421,13.64,1,1,1,13.24857806,1,1,0,1,1
1560471,25.91,2,0,0,3.775877117,0,0,1,1,1
1562102,27.27,1,1,0,13.19922361,0,1,1,0,0
1565789,20.45,2,1,1,3.711501494,1,0,1,1,0
1567406,20.45,1,1,1,3.706772521,1,0,0,0,0
1568027,32.73,1,1,0,1.256877115,0,0,0,1,1
1572002,16.36,1,1,0,3.706746235,1,1,0,0,1
1572841,16.36,1,1,0,13.18174477,1,1,0,0,0
1573695,17.73,1,1,1,13.14477104,1,1,1,1,1
1576884,16.36,1,1,1,3.69778449,1,1,1,1,1
1578499,20.45,2,1,1,3.689475926,1,0,1,1,0
1579901,13.64,1,1,0,13.01150847,1,1,1,2,2
1580526,36.82,1,1,0,1.2028754,0,1,0,1,0
1580722,27.27,1,0,1,3.67546935,1,1,1,0,1
1584211,20.45,1,1,0,12.95356251,0,1,0,0,1
1584211,17.73,1,1,0,12.95345693,1,1,0,1,1
1584211,15,1,1,1,12.92659796,1,1,0,1,1
1584211,13.64,1,1,1,12.9182932,1,1,1,2,1
1584211,16.36,2,1,0,3.646389723,1,1,0,0,1
1584211,23.18,1,1,0,3.643726146,1,1,1,0,0
1584211,12.27,1,1,0,3.613837944,1,1,0,2,0
1585188,19.09,1,1,0,3.58115945,1,1,0,1,0
1589199,13.64,1,1,0,3.576262129,1,1,0,2,1
1592104,23.18,1,1,0,12.80511992,1,1,1,0,0
1592399,27.27,1,1,0,12.79872135,0,1,1,0,0
1595730,17.73,2,1,0,12.76694227,1,1,1,1,0
1601532,13.64,1,1,1,3.503730545,1,1,1,2,1
1602382,16.36,1,1,0,3.4737775,1,1,1,1,0
1602632,17.73,1,1,1,12.68236984,1,1,1,0,0
1608546,24.55,2,0,0,3.452790646,0,0,1,1,1
1608885,13.64,1,1,1,12.49619833,1,1,1,2,1
1613438,12.27,1,1,0,3.431593084,1,1,1,2,2
1621053,23.18,1,0,0,3.421570791,0,0,0,0,1
1621053,20.45,1,1,1,3.3911584,1,0,1,0,0
